,tweet_id,timestamp,source,name,tweet_link,ratings,tweet,dog_stage,jpg_url,img_number,prediction1,prediction1_conf,prediction1_a_dog,prediction2,prediction2_conf,prediction2_a_dog,prediction3,prediction3_conf,prediction3_a_dog,favorite_count,retweet_count
0,892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iphone,Phineas,https://t.co/MgUWQ76dJU,13/10,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. ,Unidentified,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False,39467,8853
1,892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iphone,Tilly,https://t.co/0Xxu71qeIV,13/10,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. ",Unidentified,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,33819,6514
2,891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iphone,Archie,https://t.co/wUnZnhtVJB,12/10,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. ,Unidentified,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,25461,4328
3,891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iphone,Darla,https://t.co/tD36da7qLQ,13/10,This is Darla. She commenced a snooze mid meal. ,Unidentified,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False,42908,8964
4,891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iphone,Franklin,https://t.co/AtUZn91f7f,12/10,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. ",Unidentified,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True,41048,9774
5,891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iphone,null,https://t.co/kQ04fDDRmh,13/10,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. ,Unidentified,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False,20562,3261
6,890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iphone,Jax,https://t.co/Zr4hWfAs1H,13/10,Meet Jax. He enjoys ice cream so much he gets nervous around it. ,Unidentified,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,12041,2158
7,890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iphone,null,https://t.co/v0nONBcwxq,13/10,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. ,Unidentified,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True,56848,16716
8,890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iphone,Zoey,https://t.co/9TwLuAGH0b,13/10,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. ,Unidentified,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,28226,4429
9,890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iphone,Cassie,https://t.co/t1bfwz5S2A,14/10,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. ,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,32467,7711
